,resource,lang,lemma,entity_id,explicit_marker,value,level
0,aat,en,immigrant,300443480,termKind,"['Pejorative', 'Deprecated']",2
1,aat,en,indian,300310567,historicFlag,,1
2,aat,en,indian,300016954,historicFlag,,2
3,aat,en,indian,300016954,termKind,['AvoidUse'],2
4,aat,en,indian,300017557,historicFlag,,1
5,aat,en,indian,300017559,historicFlag,,1
6,aat,en,indian,300389906,historicFlag,,1
7,aat,en,indian,300011154,termKind,['JargonOrSlang'],1
8,aat,en,indian,300013641,historicFlag,,1
9,aat,en,indian,300017437,historicFlag,,3
10,aat,en,indian,300017437,termKind,['AvoidUse'],3
11,aat,en,indian,300013055,historicFlag,,1
12,aat,en,homo,300310690,termKind,['JargonOrSlang'],2
13,aat,en,hottentot,300016575,historicFlag,,3
14,aat,en,white,300261258,historicFlag,,1
15,aat,en,white,300250103,termKind,['JargonOrSlang'],1
16,aat,en,white,300310656,termKind,['JargonOrSlang'],1
17,aat,en,white,300404195,historicFlag,,1
18,aat,en,white,300380504,historicFlag,,1
19,aat,en,white,300264417,historicFlag,,1
20,aat,en,white,300013647,historicFlag,,1
21,aat,en,white,300310312,historicFlag,,1
22,aat,en,white,300013788,historicFlag,,1
23,aat,en,white,300012673,historicFlag,,1
24,aat,en,white,300343778,historicFlag,,1
25,aat,en,white,300390895,historicFlag,,1
26,aat,en,descent,300016575,historicFlag,,3
27,aat,en,mongoloid,300017437,historicFlag,,3
28,aat,en,mongoloid,300017437,termKind,['AvoidUse'],3
29,aat,en,mongoloid,300389818,termKind,['Deprecated'],2
30,aat,en,pygmy,300310411,historicFlag,,2
31,aat,en,pygmy,300310577,termKind,['JargonOrSlang'],1
32,aat,en,second world,300265774,historicFlag,,2
33,aat,en,native,300343602,historicFlag,,1
34,aat,en,native,300400499,historicFlag,,1
35,aat,en,native,300393173,historicFlag,,1
36,aat,en,native,300389906,historicFlag,,1
37,aat,en,native,300389908,historicFlag,,1
38,aat,en,native,300389683,historicFlag,,1
39,aat,en,native,300389684,historicFlag,,1
40,aat,en,native,300343716,historicFlag,,1
41,aat,en,native,300374834,historicFlag,,1
42,aat,en,native,300375344,historicFlag,,1
43,aat,en,native,300343680,historicFlag,,1
44,aat,en,native,300375682,termKind,['JargonOrSlang'],1
45,aat,en,native,300017455,termKind,['Pejorative'],3
46,aat,en,native,300016954,historicFlag,,2
47,aat,en,native,300016954,termKind,['AvoidUse'],2
48,aat,en,native,300386447,historicFlag,,1
49,aat,en,native,300266236,historicFlag,,1
50,aat,en,native,300250608,termKind,['JargonOrSlang'],1
51,aat,en,native,300374823,historicFlag,,1
52,aat,en,native,300017437,historicFlag,,3
53,aat,en,native,300017437,termKind,['AvoidUse'],3
54,aat,en,native,300310577,termKind,['JargonOrSlang'],1
55,aat,en,native,300343718,historicFlag,,1
56,aat,en,native,300343721,historicFlag,,1
57,aat,en,native,300389818,termKind,['Deprecated'],2
58,aat,en,native,300017557,historicFlag,,1
59,aat,en,native,300017559,historicFlag,,1
60,aat,en,native,300343778,historicFlag,,1
61,aat,en,native,300056500,historicFlag,,3
62,aat,en,native,300056500,termKind,['Pejorative'],3
63,aat,en,berber,300443574,historicFlag,,1
64,aat,en,roots,300343602,historicFlag,,1
65,aat,en,roots,300265699,historicFlag,,1
66,aat,en,western,300389906,historicFlag,,1
67,aat,en,western,300343680,historicFlag,,1
68,aat,en,western,300310373,historicFlag,,1
69,aat,en,western,300021930,historicFlag,,1
70,aat,en,western,300016566,historicFlag,,1
71,aat,en,western,300264400,historicFlag,,1
72,aat,en,western,300343721,historicFlag,,1
73,aat,en,western,300013561,historicFlag,,1
74,aat,en,western,300069057,historicFlag,,1
75,aat,en,western,300012673,historicFlag,,1
76,aat,en,western,300106854,historicFlag,,1
77,aat,en,western,300343778,historicFlag,,1
78,aat,en,aboriginal,300312155,historicFlag,,1
79,aat,en,eskimo,300017437,historicFlag,,3
80,aat,en,eskimo,300017437,termKind,['AvoidUse'],3
81,aat,en,eskimo,300389818,termKind,['Deprecated'],2
82,aat,en,eskimo,300017455,termKind,['Pejorative'],3
83,aat,en,hermaphrodite,300386060,termKind,['Deprecated'],3
84,aat,en,indo,300386794,historicFlag,,3
85,aat,en,oriental,300410382,historicFlag,,1
86,aat,en,oriental,300022022,historicFlag,,2
87,aat,en,oriental,300041759,historicFlag,,1
88,aat,en,oriental,300041759,termKind,['JargonOrSlang'],1
89,aat,en,colored,300252337,termKind,['JargonOrSlang'],1
90,aat,en,colored,300310552,historicFlag,,1
91,aat,en,colored,300013788,historicFlag,,1
92,aat,en,inuit,300017455,termKind,['Pejorative'],3
93,aat,en,black,300261258,historicFlag,,1
94,aat,en,black,300375682,termKind,['JargonOrSlang'],1
95,aat,en,black,300310656,termKind,['JargonOrSlang'],1
96,aat,en,black,300400883,historicFlag,,1
97,aat,en,black,300013568,historicFlag,,1
98,aat,en,dwarf,300310411,historicFlag,,2
99,aat,en,dwarf,300310690,termKind,['JargonOrSlang'],2
100,aat,en,race,300000597,historicFlag,,1
101,aat,en,primitive,300069057,historicFlag,,1
102,aat,en,primitive,300310154,historicFlag,,1
103,aat,en,primitive,300056500,historicFlag,,3
104,aat,en,primitive,300056500,termKind,['Pejorative'],3
105,aat,en,slave,300230899,termKind,['Pejorative'],3
106,aat,en,slave,300055309,historicFlag,,2
107,aat,en,primitivism,300056500,historicFlag,,3
108,aat,en,primitivism,300056500,termKind,['Pejorative'],3
109,aat,en,indigenous,300387760,historicFlag,,1
110,aat,en,indigenous,300017437,historicFlag,,3
111,aat,en,indigenous,300017437,termKind,['AvoidUse'],3
112,aat,en,indigenous,300389818,termKind,['Deprecated'],2
113,aat,en,indigenous,300264462,historicFlag,,1
114,aat,en,indigenous,300056500,historicFlag,,3
115,aat,en,indigenous,300056500,termKind,['Pejorative'],3
116,aat,en,traditional,300021946,historicFlag,,1
117,aat,en,traditional,300021930,historicFlag,,1
118,aat,en,traditional,300264462,historicFlag,,1
119,aat,en,traditional,300106840,historicFlag,,1
120,aat,en,tribe,300438481,termKind,['JargonOrSlang'],1
121,aat,en,tribe,300017557,historicFlag,,1
122,aat,en,tribe,300017559,historicFlag,,1
123,aat,nl,homo,300310690,termKind,['JargonOrSlang'],2
124,aat,nl,westers,300022022,historicFlag,,2
125,aat,nl,westers,300264400,historicFlag,,1
126,aat,nl,westers,300069057,historicFlag,,1
127,aat,nl,hermafrodiet,300386060,termKind,['Deprecated'],3
128,aat,nl,inuk,300017455,termKind,['Pejorative'],3
129,aat,nl,indiaan,300017437,historicFlag,,3
130,aat,nl,indiaan,300017437,termKind,['AvoidUse'],3
131,aat,nl,indiaan,300389818,termKind,['Deprecated'],2
132,aat,nl,indiaan,300310567,historicFlag,,1
133,aat,nl,indiaan,300016954,historicFlag,,2
134,aat,nl,indiaan,300016954,termKind,['AvoidUse'],2
135,aat,nl,indiaan,300017557,historicFlag,,1
136,aat,nl,indiaan,300017559,historicFlag,,1
137,aat,nl,afkomst,300016575,historicFlag,,2
138,aat,nl,stam,300056500,historicFlag,,2
